Experiment ID,Experiment Description,Date,Model,Hyperparameters,Train Score,Test Score,Test Std,Dataset Split,Feature Engineering,Metric Used,Duration,Notes,Status,Comments,Next Steps
10,Baseline model after SFS,"Friday, 1 March 2024",XGBoost,"{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': 5, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.997777778,0.995714286,0.006546537,,None,,8 mins,,Completed,Used RFECV features as input ,
10,Baseline model after SFS,"Friday, 1 March 2024",XGBoost,"{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': 5, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",,,,,None,,,,Pending,Used Feature Importance features as input ,
11,Baseline model w/ all features,"Friday, 1 March 2024",CatBoost,"{'verbose': False, 'random_state': 5}",1,0.994285714,0.006998542,,"Dropped classfication, japanese_name, name, pokedex_number
Manually entered the height and weight missing based of Pokemon Wiki

Anywhere type2 was missing, replaced it with -1 (to denote the Pokemon does not have a secondary power)

Flattened abilities and created OneHotEncoded abilities for all Pokemon",Accuracy,1 min,,Completed,"Exploration comments about the data
",
12,Baseline model after feature importance,"Friday, 1 March 2024",CatBoost,"{'verbose': False, 'random_state': 5}",1,0.995714,0.006547,,None,,,,Completed,,
13,Baseline model after permutation importance,"Friday, 1 March 2024",CatBoost,"{'verbose': False, 'random_state': 5}",,,,,None,,,,Aborted,Will take hours for minimal gains,
14,Baseline model after RFECV,"Friday, 1 March 2024",CatBoost,"{'verbose': False, 'random_state': 5}",,,,,None,,,,Aborted,,
15,Baseline model after SFS,"Friday, 1 March 2024",CatBoost,"{'verbose': False, 'random_state': 5}",,,,,None,,,,Aborted,,
16,Baseline model w/ all features,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",1,0.994285714,0.006998542,,"Dropped classfication, japanese_name, name, pokedex_number
Manually entered the height and weight missing based of Pokemon Wiki

Anywhere type2 was missing, replaced it with -1 (to denote the Pokemon does not have a secondary power)

Flattened abilities and created OneHotEncoded abilities for all Pokemon",Accuracy,0 min,,Completed,"Exploration comments about the data
",
17,Baseline model after feature importance,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",1,0.994285714,0.006998542,,None,,,,Completed,,
18,Baseline model after permutation importance,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",,,,,None,,,,Completed,,
19,Baseline model after RFECV,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.997142857,0.997142857,0.005714286,,None,,8 mins,,Completed,,
20,Baseline model after SFS,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",0.997142857,0.997142857,0.005714286,,None,,8 mins,,Completed,Used RFECV features as input ,
20,Baseline model after SFS,"Friday, 1 March 2024",RandomForest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 5, 'verbose': 0, 'warm_start': False}",,,,,None,,,,Aborted,"Used Feature Importance features as input 
Will take hours for minimal gains",
21,Extensive preprocessing,"Friday, 1 March 2024",,,,,,,None,,,,Pending,"Comparing the scores to the baseline, the best 3 preprocessing in order are:
1. 
2. 
3. ",
22,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
23,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
24,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
25,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
26,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
27,,"Friday, 1 March 2024",,,,,,,None,,,,Pending,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
